policy,evidence_mode,wall_time_ms,avg_task_latency_ms,p95_task_latency_ms,materialize_count,materialize_cost_ms,saved_tokens,saved_bytes,avoided_copy_bytes,memory_peak_bytes,pids_peak,cpu_throttle_count,scheduler_decisions_count,decision_evidence_mode,fallback_reason
fifo,real-runtime,978,38,42,24,930,8640,34560,24576,149946368,27,276,24,degraded,resource pressure sampler not configured or local cgroup pressure files unavailable
token-cfs,real-runtime,762,29,33,24,714,12960,51840,36864,188743680,30,540,24,degraded,resource pressure sampler not configured or local cgroup pressure files unavailable
token-cfs-prefix-affinity,real-runtime,546,20,24,24,498,25920,103680,73728,227540992,33,804,24,degraded,resource pressure sampler not configured or local cgroup pressure files unavailable
token-cfs-prefix-affinity-resource-aware,degraded,697,27,31,24,649,25920,103680,73728,227540992,33,804,24,degraded,resource pressure sampler not configured or local cgroup pressure files unavailable
