experiment,fault_type,evidence_mode,failed_agent,affected_agents,unaffected_agents,total_agents,cascade_failure,recovery_action,recovery_time_ms,checkpoint_used,final_status,system_survived,supervisor_fault_id
E2_real_fault_isolation_benchmark,tool_timeout,real-runtime,tester,1,5,6,false,kill_tool_process_and_resume_agent,11,true,recovered,true,20260707152709.053263000
E2_real_fault_isolation_benchmark,agent_crash,real-runtime,coder,1,5,6,false,restart_agent_from_checkpoint,5,true,recovered,true,20260707152709.059211000
E2_real_fault_isolation_benchmark,workspace_rmrf,real-runtime,coder,1,5,6,false,rollback_target_workspace,16,true,recovered,true,20260707152709.075908000
E2_real_fault_isolation_benchmark,kill_capsule,real-runtime,reviewer,1,5,6,false,restart_agent_capsule_from_checkpoint,1,true,recovered,true,20260707152709.076552000
E2_real_fault_isolation_benchmark,memory_limit_exceeded,real-runtime,planner,1,5,6,false,restart_agent_with_lower_memory_pressure_from_checkpoint,6,true,recovered,true,20260707152709.083323000
E2_real_fault_isolation_benchmark,pids_limit_exceeded,real-runtime,fixer,1,5,6,false,reject_spawn_storm_and_resume_from_checkpoint,5,true,recovered,true,20260707152709.088873000
